06,00,0.18792,-119.96665
06,02,0.18792,-119.96665
06,04,0.18792,-119.96665
06,06,0.18792,-119.96665
06,08,0.18792,-119.96665
06,10,0.18792,-119.96665
06,12,0.18792,-119.96665
06,14,0.145292,-119.862638
06,16,0.145292,-119.862638
06,18,0.187897,-119.966559
06,20,0.187897,-119.966559
06,22,0.187897,-119.966559
07,00,0.187897,-119.966559
07,02,0.187897,-119.966559
07,04,0.187897,-119.966559
07,06,0.187897,-119.966559
07,08,0.18734,-119.929643
07,10,0.145411,-119.86257
07,12,0.145411,-119.86257
07,14,0.145411,-119.86257
07,16,0.145411,-119.86257
07,18,0.187861,-119.966507
07,20,0.187861,-119.966507
07,22,0.187861,-119.966507
08,00,0.187861,-119.966507
08,02,0.187861,-119.966507
08,04,0.187861,-119.966507
08,06,0.187861,-119.966507
08,08,0.18792,-119.951398
08,10,0.145411,-119.862586
08,12,0.145411,-119.862586
08,14,0.145411,-119.862586
08,16,0.145411,-119.862586
08,18,0.184529,-119.959147
08,20,0.187913,-119.966506
08,22,0.187913,-119.966506
09,00,0.187913,-119.966506
09,02,0.187913,-119.966506
09,04,0.187913,-119.966506
09,06,0.187913,-119.966506
09,08,0.187913,-119.966506
09,10,0.187913,-119.966506
09,12,0.187913,-119.966506
09,14,0.187913,-119.966506
09,16,0.187913,-119.966506
09,18,0.187913,-119.966506
09,20,0.187913,-119.966506
09,22,0.187913,-119.966506
10,00,0.187913,-119.966506
10,02,0.187913,-119.966506
10,04,0.187913,-119.966506
10,06,0.187913,-119.966506
10,08,0.187913,-119.966506
10,10,0.187913,-119.966506
10,12,0.187913,-119.966506
10,14,0.187913,-119.966506
10,16,0.187913,-119.966506
10,18,0.187913,-119.966506
10,20,0.187913,-119.966506
10,22,0.187913,-119.966506
