Timestamp,mobile-15,mobile-13,mobile-14,mobile-9,mobile-39,mobile-37,mobile-21,mobile-43,mobile-10,mobile-22,mobile-32,mobile-44,mobile-34,mobile-49,mobile-46,mobile-23,mobile-45,mobile-8,mobile-31,mobile-36,mobile-7,mobile-12,mobile-5,mobile-11,mobile-42
2020-04-06 00:00:00,,,,,,,,25.0,23.0,24.0,,,,,,,,,,,,,,,
2020-04-06 00:10:00,,,,,,,,25.0,26.0,24.0,,,,,,,,,,,,,,,
2020-04-06 00:20:00,,,,,,,,25.0,23.0,21.0,,,,,,,,,,,,,,,
2020-04-06 00:30:00,,,,,,,,24.0,24.0,24.0,,,,,,,,,,,,,,,
2020-04-06 00:40:00,,,,,,,,25.0,25.0,29.0,,,,,,,,,,,,,,,
2020-04-06 00:50:00,,,,,,,,24.0,23.0,23.0,,,,,,,,,,,,,,,
2020-04-06 01:00:00,,,,,,,,24.0,24.0,26.0,,,,,,,,,,,,,,,
2020-04-06 01:10:00,,,,,,,,24.0,22.0,27.0,,,,,,,,,,,,,,,
2020-04-06 01:20:00,,,,,,,,23.0,27.0,27.0,,,,,,,,,,,,,,,
2020-04-06 01:30:00,,,,,,,,25.0,25.0,26.0,,,,,,,,,,,,,,,
2020-04-06 01:40:00,,,,,,,,25.0,25.0,24.0,,,,,,,,,,,,,,,
2020-04-06 01:50:00,,,,,,,,24.0,23.0,25.0,,,,,,,,,,,,,,,
2020-04-06 02:00:00,,,,,,,,24.0,27.0,27.0,,,,,,,,,,,,,,,
2020-04-06 02:10:00,,,,,,,,26.0,27.0,24.0,,,,,,,,,,,,,,,
2020-04-06 02:20:00,,,,,,,,23.0,26.0,23.0,,,,,,,,,,,,,,,
2020-04-06 02:30:00,,,,,,,,24.0,21.0,25.0,,,,,,,,,,,,,,,
2020-04-06 02:40:00,,,,,,,,25.0,27.0,21.0,,,,,,,,,,,,,,,
2020-04-06 02:50:00,,,,,,,,27.0,23.0,23.0,,,,,,,,,,,,,,,
2020-04-06 03:00:00,,,,,,,,25.0,26.0,23.0,,,,,,,,,,,,,,,
2020-04-06 03:10:00,,,,,,,,24.0,23.0,27.0,,,,,,,,,,,,,,,
2020-04-06 03:20:00,,,,,,,,25.0,24.0,24.0,,,,,,,,,,,,,,,
2020-04-06 03:30:00,,,,,,,,28.0,24.0,25.0,,,,,,,,,,,,,,,
2020-04-06 03:40:00,,,,,,,,28.0,23.0,25.0,,,,,,,,,,,,,,,
2020-04-06 03:50:00,,,,,,,,24.0,25.0,25.0,,,,,,,,,,,,,,,
2020-04-06 04:00:00,,,,,,,,23.0,22.0,24.0,,,,,,,,,,,,,,,
