Timestamp,mobile-19,mobile-18,mobile-20,mobile-17,mobile-5,mobile-38,mobile-4,mobile-36,mobile-16,mobile-2,mobile-7,mobile-27,mobile-47,mobile-1,mobile-44,mobile-15,mobile-9,mobile-25,mobile-3,mobile-41,mobile-23,mobile-37,mobile-50,mobile-31,mobile-13,mobile-10,mobile-11
2020-04-06 00:00:00,,,,,,,,,,,,,,0.0,44.0,71.4,,,,,,,,,,,
2020-04-06 00:10:00,,,,,,,,,,,,,,,42.0,67.399,,,,,,,,,,,
2020-04-06 00:20:00,,,,,,,,,,,,,,,44.0,63.40000000000001,,,,,,,,,,,
2020-04-06 00:30:00,,,,,,,,,,,,,,,44.0,61.42400000000001,,,,,,,,,,,
2020-04-06 00:40:00,,,,,,,,,,,,,,,50.0,59.523,,,,,,,,,,,
2020-04-06 00:50:00,,,,,,,,,,,,,,,38.0,61.602,,,,,,,,,,,
2020-04-06 01:00:00,,,,,,,,,,,,,,,40.0,63.63200000000001,,,,,,,,,,,
2020-04-06 01:10:00,,,,,,,,,,,,,,,44.0,57.648999999999994,,,,,,,,,,,
2020-04-06 01:20:00,,,,,,,,,,,,,,,44.0,65.706,,,,,,,,,,,
2020-04-06 01:30:00,,,,,,,,,,,,,,,56.0,63.81,,,,,,,,,,,
2020-04-06 01:40:00,,,,,,,,,,,,,,,50.0,69.839,,,,,,,,,,,
2020-04-06 01:50:00,,,,,,,,,,,,,,,44.0,61.908,,,,,,,,,,,
2020-04-06 02:00:00,,,,,,,,,,,,,,,44.0,68.045,,,,,,,,,,,
2020-04-06 02:10:00,,,,,,,,,,,,,,,44.0,66.107,,,,,,,,,,,
2020-04-06 02:20:00,,,,,,,,,,,,,,,821.5836439272774,335.59545465677,,,,,,,,,,,
2020-04-06 02:30:00,,,,,,,,,,,,,,,44.0,66.19,,,,,,,,,,,
2020-04-06 02:40:00,,,,,,,,,,,,,,,44.0,64.365,,,,,,,,,,,
2020-04-06 02:50:00,,,,,,,,,,,,,,,42.0,66.39099999999999,,,,,,,,,,,
2020-04-06 03:00:00,,,,,,,,,,,,,,,38.0,62.49500000000001,,,,,,,,,,,
2020-04-06 03:10:00,,,,,,,,,,,,,,,48.0,64.62100000000001,,,,,,,,,,,
2020-04-06 03:20:00,,,,,,,,,,,,,,,52.0,62.857,,,,,,,,,,,
2020-04-06 03:30:00,,,,,,,,,,,,,,,1219.6045523527694,66.976,,,,,,,,,,,
2020-04-06 03:40:00,,,,,,,,,,,,,,,50.0,65.271,,,,,,,,,,,
2020-04-06 03:50:00,,,,,,,,,,,,,,,40.0,79.517,,,,,,,,,,,
2020-04-06 04:00:00,,,,,,,,,,,,,,,52.0,65.89,,,,,,,,,,,
2020-04-06 04:10:00,,,,,,,,,,,,,,,42.0,71.935,,,,,,,,,,,
2020-04-06 04:20:00,,,,,,,,,,,,,,,48.0,64.182,,,,,,,,,,,
2020-04-06 04:30:00,,,,,,,,,,,,,,,50.0,66.41499999999999,,,,,,,,,,,
2020-04-06 04:40:00,,,,,,,,,,,,,,,52.0,70.62,,,,,,,,,,,
2020-04-06 04:50:00,,,,,,,,,,,,,,,42.0,70.765,,,,,,,,,,,
2020-04-06 05:00:00,,,,,,,,,,,,,,,40.0,66.911,,,,,,,,,,,
2020-04-06 05:10:00,,,,,,,,,,,,,,,42.0,66.90299999999999,,,,,,,,,,,
2020-04-06 05:20:00,,,,,,,,,,,,,,,46.0,66.983,,,,,,,,,,,
2020-04-06 05:30:00,,,,,,,,,,,,,,,50.0,70.892,,,,,,,,,,,
2020-04-06 05:40:00,,,,,,,,,,,,,,,44.0,62.902,,,,,,,,,,,
2020-04-06 05:50:00,,,,,,,,,,,,,,,40.0,66.90100000000001,,,,,,,,,,,
2020-04-06 06:00:00,,,,,,,,,,,,,,,52.0,62.90299999999999,,,,,,,,,,,
2020-04-06 06:10:00,,,,,,,,,,,,,46.0,,40.0,72.793,,,,,,,,,,,
2020-04-06 06:20:00,,,,,17.0,,,,,,,,,,,64.81,,,,,,,,,,,
2020-04-06 06:30:00,,,,,22.0,,,,,,,,,,,58.69499999999999,,,,,,,48.0,,,,
2020-04-06 06:40:00,,,,,4.6,,,,,,,,,20.73158539821929,,68.58800000000001,,,,,,,,,,,
2020-04-06 06:50:00,,,,,4.6,,,,,,,,,39.55139546007556,,66.613,,,,,,,,,,,
2020-04-06 07:00:00,,,,22.0,5.0,,,,,,,,,,,66.518,,,,,47.0,,,,,,
2020-04-06 07:10:00,,,,23.0,4.8,,,,,,,27.0,,,,60.396,,,,,,,,,,,
2020-04-06 07:20:00,,,,,5.0,,,,,,,1259.8884046459475,,,,,,,,,,,,,,,
2020-04-06 07:30:00,,,,,4.6,,,,,,,740.1664415620523,,,,,,,,,,,,,,,
2020-04-06 07:40:00,,,,,5.4,,,,,,,4.6,,,,,,,,,,,,,,,
2020-04-06 07:50:00,,34.0153,,,5.0,,,,,,,4.8,,,,,,,,,,,,,,,
2020-04-06 08:00:00,,37.0398,,,4.4,,,,,,,5.2,,,,,,,,,,,,,,,
