Timestamp,mobile-49,mobile-36_x,mobile-9_x,mobile-17_x,mobile-19_x,mobile-46_x,mobile-47_x,mobile-6_x,mobile-40_x,mobile-15_x,mobile-44_x,mobile-39_x,mobile-20_x,mobile-37_x,mobile-21,mobile-43,mobile-33_x,mobile-23_x,mobile-10_x,mobile-34,mobile-8_x,mobile-24_x,mobile-1_x,mobile-27_x,mobile-7_x,mobile-5_x,mobile-13_x,mobile-4_x,mobile-31_x,mobile-32,mobile-22,mobile-14,mobile-42_x,mobile-12_x,mobile-37_y,mobile-44_y,mobile-38,mobile-19_y,mobile-5_y,mobile-40_y,mobile-36_y,mobile-15_y,mobile-20_y,mobile-4_y,mobile-2,mobile-33_y,mobile-23_y,mobile-11,mobile-24_y,mobile-7_y,mobile-27_y,mobile-6_y,mobile-47_y,mobile-17_y,mobile-1_y,mobile-46_y,mobile-9_y,mobile-39_y,mobile-42_y,mobile-13_y,mobile-31_y,mobile-10_y,mobile-16,mobile-12_y,mobile-8_y
2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,47.0,,
2020-04-06 00:10:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,49.0,,,,47.0,,
2020-04-06 00:20:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,46.0,,
2020-04-06 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,48.0,,,,46.0,,
2020-04-06 00:40:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,48.0,,
2020-04-06 00:50:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,48.0,,,,47.0,,
2020-04-06 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,47.0,,,,48.0,,
2020-04-06 01:10:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,48.0,,,,48.0,,
2020-04-06 01:20:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,48.0,,
2020-04-06 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,48.0,,,,47.0,,
2020-04-06 01:40:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,48.0,,
2020-04-06 01:50:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,46.0,,
2020-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,47.0,,
2020-04-06 02:10:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,46.0,,
2020-04-06 02:20:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,49.0,,,,46.0,,
2020-04-06 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,45.0,,
2020-04-06 02:40:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,50.0,,,,46.0,,
2020-04-06 02:50:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,47.0,,
2020-04-06 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,49.0,,
2020-04-06 03:10:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,47.0,,,,46.0,,
2020-04-06 03:20:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,46.0,,
2020-04-06 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,49.0,,,,47.0,,
2020-04-06 03:40:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,50.0,,,,46.0,,
2020-04-06 03:50:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,45.0,,
2020-04-06 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,47.0,,,,46.0,,
2020-04-06 04:10:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,47.0,,,,46.0,,
2020-04-06 04:20:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,48.0,,
2020-04-06 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,47.0,,
2020-04-06 04:40:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,48.0,,
2020-04-06 04:50:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,52.0,,,,49.0,,
