Timestamp,mobile-1,mobile-2,mobile-38,mobile-50,mobile-47,mobile-44,mobile-9
2020-04-06 00:00:00,41.4,33.0154,,,,,
2020-04-06 00:10:00,43.4,35.07455,,,,,
2020-04-06 00:20:00,43.403,36.08435,,,,,
2020-04-06 00:30:00,44.50700000000001,34.1428,,,,,
2020-04-06 00:40:00,67.587,37.16975,,,,,
2020-04-06 00:50:00,52.61,33.23275,,,,,
2020-04-06 01:00:00,43.18222034,32.27545,,,,,
2020-04-06 01:10:00,1132.6084026862113,35.30835,,,,,
2020-04-06 01:20:00,42.27327119,39.37205,,,,,
2020-04-06 01:30:00,40.32937288,34.41685,,,,,
2020-04-06 01:40:00,44.52216949,36.44275,,,,,
2020-04-06 01:50:00,923.9648901068877,33.4872,,,,,
2020-04-06 02:00:00,39.56842373,38.53445,,,,,
2020-04-06 02:10:00,42.68827119,36.55895,,,,,
2020-04-06 02:20:00,41.76132203,33.6139,,,,,
2020-04-06 02:30:00,39.72142373,38.63665,,,,,
2020-04-06 02:40:00,41.96632203,32.6916,,,,,
2020-04-06 02:50:00,82.63028814,35.7329,,,,,
2020-04-06 03:00:00,46.21111864,32.77,,,,,
2020-04-06 03:10:00,47.394067799999995,34.80605,,,,,
2020-04-06 03:20:00,44.52122034,39.8806,,,,,
2020-04-06 03:30:00,43.66327119,36.89005,,,,,
2020-04-06 03:40:00,41.772372880000006,37.95445,,,,,
2020-04-06 03:50:00,47.10611864,38.98,,,,,
2020-04-06 04:00:00,45.32522034,38.02445,,,,,
2020-04-06 04:10:00,65.92020339,33.0829,,,,,
2020-04-06 04:20:00,44.87827119,36.1095,,,,,
2020-04-06 04:30:00,46.07022034000001,34.15535,,,,,
2020-04-06 04:40:00,48.18111864,34.1942,,,,,
2020-04-06 04:50:00,44.735,34.2586,,,,,
2020-04-06 05:00:00,45.898999999999994,40.2992,,,,,
2020-04-06 05:10:00,45.904,35.3293,,,,,
2020-04-06 05:20:00,46.889,36.3587,,,,,
2020-04-06 05:30:00,47.896,42.4,,,,,
2020-04-06 05:40:00,47.9,36.45775,,,,,
2020-04-06 05:50:00,50.9,35.5071,,,,,
2020-04-06 06:00:00,49.908,35.525999999999996,,,,,
2020-04-06 06:10:00,47.792,33.5603,,,,,
2020-04-06 06:20:00,43.809,38.61875,,,,,
2020-04-06 06:30:00,46.711000000000006,38.6737,,,,,
2020-04-06 06:40:00,48.673,38.7157,,49.0,,,
2020-04-06 06:50:00,43.597,37.7458,,52.0,,,
2020-04-06 07:00:00,46.49800000000001,37.7836,,48.0,,,42.0
2020-04-06 07:10:00,47.389,37.82385,,51.0,,,44.0
2020-04-06 07:20:00,45.389,39.855,,51.0,,,42.0
2020-04-06 07:30:00,48.305,44.91625,,52.0,,,
2020-04-06 07:40:00,42.205,33.9712,,48.0,,,
2020-04-06 07:50:00,42.999,35.9922,,51.0,,,
2020-04-06 08:00:00,43.983999999999995,,,47.0,,,
2020-04-06 08:10:00,42.903,,,48.0,,,
2020-04-06 08:20:00,47.798,,,48.0,,,
2020-04-06 08:30:00,44.693999999999996,,,51.0,,,
2020-04-06 08:40:00,44.465,,,48.0,,,
2020-04-06 08:50:00,43.428000000000004,,,49.0,,,
2020-04-06 09:00:00,42.398,,,51.0,,,
2020-04-06 09:10:00,48.3,,,510.53444786804465,,,
2020-04-06 09:20:00,43.201,,,48.0,,,
2020-04-06 09:30:00,45.086999999999996,,,50.0,,,
2020-04-06 09:40:00,44.055,,,47.0,,,
2020-04-06 09:50:00,42.911,,,50.0,,,
2020-04-06 10:00:00,50.88,,,50.0,,,
2020-04-06 10:10:00,40.805,,,48.0,,,
2020-04-06 10:20:00,40.591,,,49.0,,,
2020-04-06 10:30:00,42.559,,,51.0,,,
