Timestamp,Sensor-id,Long,Lat,Value
2020-04-06 06:28:50,25,-119.84456,0.069522,28
2020-04-06 06:28:55,25,-119.84456,0.069796,26
2020-04-06 06:29:00,25,-119.84456,0.070088,26
2020-04-06 06:29:05,25,-119.84456,0.070371,29
2020-04-06 06:29:10,25,-119.84456,0.070677,28
2020-04-06 06:29:15,25,-119.84456,0.070911,26
2020-04-06 06:29:20,25,-119.84456,0.071208,28
2020-04-06 06:29:25,25,-119.84456,0.07149,28
2020-04-06 06:29:30,25,-119.84456,0.071827,26
2020-04-06 06:29:35,25,-119.84456,0.07212,29
2020-04-06 06:29:40,25,-119.844716,0.072168,25
2020-04-06 06:29:45,25,-119.844811,0.072403,25
2020-04-06 06:29:50,25,-119.844838,0.072669,30
2020-04-06 06:31:50,25,-119.84543,0.079064,26
2020-04-06 06:31:55,25,-119.84543,0.079354,29
2020-04-06 06:32:00,25,-119.84543,0.079629,26
2020-04-06 06:32:05,25,-119.84543,0.079952,27
2020-04-06 06:32:10,25,-119.84543,0.080225,25
2020-04-06 06:32:15,25,-119.84543,0.080523,25
2020-04-06 06:32:20,25,-119.84543,0.080809,22
2020-04-06 06:32:25,25,-119.84543,0.081086,27
2020-04-06 06:32:30,25,-119.84543,0.081365,28
2020-04-06 06:32:35,25,-119.84543,0.081645,24
2020-04-06 06:32:40,25,-119.84543,0.081997,29
2020-04-06 06:32:45,25,-119.84543,0.082279,25
2020-04-06 06:32:50,25,-119.84543,0.082582,28
2020-04-06 06:32:55,25,-119.84543,0.082852,26
2020-04-06 06:33:00,25,-119.845651,0.082919,25
2020-04-06 06:33:05,25,-119.845697,0.083128,28
2020-04-06 06:33:10,25,-119.845892,0.083192,29
2020-04-06 06:33:15,25,-119.846193,0.08322,26
2020-04-06 06:33:20,25,-119.846265,0.083421,28
2020-04-06 06:33:25,25,-119.846473,0.083484,30
2020-04-06 06:33:30,25,-119.846543,0.08368,26
2020-04-06 06:33:35,25,-119.846739,0.083756,29
2020-04-06 06:33:40,25,-119.84683,0.083978,26
2020-04-06 06:33:45,25,-119.84709,0.084071,27
2020-04-06 06:33:50,25,-119.847138,0.084263,29
2020-04-06 06:33:55,25,-119.847338,0.084342,25
2020-04-06 06:34:00,25,-119.847418,0.084564,27
2020-04-06 06:34:05,25,-119.847448,0.084855,28
2020-04-06 06:34:10,25,-119.847645,0.08493,28
2020-04-06 06:34:15,25,-119.847705,0.085119,26
2020-04-06 06:34:20,25,-119.847741,0.085464,24
2020-04-06 06:34:25,25,-119.847947,0.085523,24
2020-04-06 06:34:30,25,-119.848006,0.085724,28
2020-04-06 06:34:35,25,-119.848029,0.085994,27
2020-04-06 06:34:40,25,-119.848037,0.086301,26
2020-04-06 06:34:45,25,-119.848039,0.086595,26
2020-04-06 06:34:50,25,-119.848231,0.086671,28
2020-04-06 06:34:55,25,-119.848295,0.086885,25
2020-04-06 06:35:00,25,-119.848322,0.087198,27
2020-04-06 06:35:05,25,-119.848328,0.087482,26
2020-04-06 06:35:10,25,-119.848539,0.087553,27
