Timestamp,mobile-15,mobile-13,mobile-14,mobile-9,mobile-39,mobile-37,mobile-21,mobile-43,mobile-10,mobile-22,mobile-32,mobile-44,mobile-34,mobile-49,mobile-46,mobile-23,mobile-45,mobile-8,mobile-31,mobile-36,mobile-7,mobile-12,mobile-5,mobile-11,mobile-42,static-15,static-13
2020-04-06 00:00:00,,,,,,,,25.0,27.0,29.0,,,,,,,,,,,,,,,,19.936,812.563
2020-04-06 02:00:00,,,,,,,,28.0,27.0,27.0,,,,,,,,,,,,,,,,19.994,19.934
2020-04-06 04:00:00,,,,,,,,27.0,27.0,28.0,,,,,,,,,,,,,,,,19.889,19.998
2020-04-06 06:00:00,,,,18.0,,,,28.0,24.0,26.0,58.0,,,,,,,50.0,51.0,,,,,,,19.988,19.98
2020-04-06 08:00:00,,,,,,,,27.0,,,,,,,,,,,50.0,,47.0,,,,,20.0,19.955
2020-04-06 10:00:00,,,,20.0,20.0,,,27.0,,,,34.0,,,36.0,,,,53.0,,884.8006581850972,47.0,,,,19.948,19.942
2020-04-06 12:00:00,,,,24.0,20.0,,,884.0077853857488,,,,34.0,,,40.0,39.0,,,54.0,,48.0,48.0,,,45.0,19.979,19.919
2020-04-06 14:00:00,,,,22.0,,,,25.0,,,,,,,,38.0,,,52.0,,45.0,,,49.0,,19.936,19.979
2020-04-06 16:00:00,,,,22.0,,,,850.4804223545217,26.0,28.0,52.0,,18.0,,,36.0,,,51.0,,44.0,,,46.0,48.0,19.827,19.930999999999997
2020-04-06 18:00:00,,,,,,,,31.0,717.9545696216983,609.9814572975379,,,,,,,,,,,,,,,,19.989,19.967
2020-04-06 20:00:00,,,,,,,,28.0,27.0,1283.9940255725035,,,,,,,,,,,,,,,,19.985,19.953
2020-04-06 22:00:00,,,,,,,,28.0,29.0,29.0,,,,,,,,,,,,,,,,19.976,19.965
2020-04-07 00:00:00,,,,,,,,29.0,418.8109203642624,607.4546788342187,,,,,,,,,,,,,,,,19.992,19.945999999999998
2020-04-07 02:00:00,,,,,,,,28.0,28.0,27.0,,,,,,,,,,,,,,,,751.7139999999999,19.936
2020-04-07 04:00:00,,,,,,,,32.0,29.0,27.0,,,,,,,,,,,,,,,,19.965999999999998,19.955
2020-04-07 06:00:00,,,,,,,,28.0,30.0,28.0,,,,,,,,,,,,,,,,19.965,629.206
2020-04-07 08:00:00,,,,,,,,28.0,,28.0,60.0,,,,,37.0,,,,,42.0,,,,,19.927,19.928
2020-04-07 10:00:00,,,,,904.6771021141707,,,30.0,,26.0,,34.0,,,38.0,38.0,,,,,44.0,,,,,19.887999999999998,19.928
2020-04-07 12:00:00,,,,18.0,18.0,,,24.0,,28.0,,32.0,17.0,,38.0,37.0,,50.0,52.0,,42.0,,44.0,,50.0,19.936,19.98
2020-04-07 14:00:00,,,,18.0,,,,23.0,,,,,,,40.0,393.785830814515,,,52.0,,41.0,,54.0,,,19.992,19.972
2020-04-07 16:00:00,,,,18.0,,,,1023.8105602040249,28.0,29.0,58.0,,17.0,,,36.0,,,55.0,,39.0,,48.0,,48.0,843.3539999999999,19.989
2020-04-07 18:00:00,,,19.0,,,,,28.0,920.0854330622614,27.0,,,,,38.0,,,,,,,,,,,19.987000000000002,19.958
2020-04-07 20:00:00,,,,,,,,28.0,27.0,29.0,,,,21.0,37.0,,,,,,,,,,,19.873,19.995
2020-04-07 22:00:00,,,,,,,,29.0,27.0,28.0,,,,,,,,,,,,,,,,19.984,19.97
2020-04-08 00:00:00,,,,,,,,27.0,28.0,30.0,,,,,,,,,,,,,,,,19.951,19.945999999999998
2020-04-08 02:00:00,,,,,,,,28.0,27.0,650.6495322805815,,,,,,,,,,,,,,,,19.987000000000002,19.979
2020-04-08 04:00:00,,,,,,,,28.0,32.0,29.0,,,,,,,,,,,,,,,,19.977,933.548
2020-04-08 06:00:00,,,,,,,,34.0,26.0,27.0,60.0,,,,,44.0,,,,,38.0,53.0,,,51.0,19.997,19.933
2020-04-08 08:00:00,,,,,,,,28.12486419520905,,22.0,,,,,,38.0,,48.0,,,791.3517979737242,51.0,,,,263.925,979.0360000000001
2020-04-08 10:00:00,,,,,,,,697.2621833616881,,,,1284.6146540546295,,,884.1919306192583,,,,,,1329.3243871998434,1010.8541976978464,,,,20.212,1076.755
2020-04-08 12:00:00,,,,623.2159768123958,,,,721.7944460778193,,,,73.6583763315789,,,699.3980450511722,,,,122.15245896732335,,41.91450757994215,78.24346873817021,,,,20.285999999999998,719.5310000000001
2020-04-08 14:00:00,,,,447.8225286742274,,,,65.5449744486429,,,,,,,,,,,52.351746576961354,,40.94573309115849,,,,,20.993000000000002,420.11800000000005
2020-04-08 16:00:00,,,,460.5598668756034,,,,74.4938628261777,,28.74977256365959,116.73238204835079,72.3207408976331,15.0,,,,49.861030825631545,,49.05473196414422,,383.95724177476404,42.859453510239184,,,,736.799,128.815
