Timestamp,mobile-26,mobile-24,mobile-45,mobile-25,mobile-28,mobile-46,mobile-23,mobile-20,mobile-27,mobile-47,mobile-22,static-11
2020-04-06 00:00:00,,,,1206.9151578010014,638.5258282609974,40.0,,,50.0,,,19.995
2020-04-06 02:00:00,,,,31.0,34.0,43.0,,,703.9695367860678,,,19.854
2020-04-06 04:00:00,,,,31.0,31.0,39.0,,,49.0,,,19.984
2020-04-06 06:00:00,,,,31.0,37.0,47.0,,29.0,50.0,58.0,,19.989
2020-04-06 08:00:00,63.89,,17.0,32.0,,,,31.0,50.0,50.0,,19.958
2020-04-06 10:00:00,,,,37.0,,,,1026.0272796451263,51.0,48.0,,19.983
2020-04-06 12:00:00,,,,,,,36.6,30.0,47.0,50.0,,19.865
2020-04-06 14:00:00,,,,,,,,28.0,,,,19.972
2020-04-06 16:00:00,68.9,,,37.0,41.0,48.0,41.6,27.0,48.0,,,1110.792
2020-04-06 18:00:00,,,,30.0,37.0,41.0,,,50.0,,,19.998
2020-04-06 20:00:00,,,,32.0,33.0,39.0,,,48.0,,,19.99
2020-04-06 22:00:00,,,,34.0,34.0,39.0,,,50.0,,,19.955
2020-04-07 00:00:00,,,,36.0,34.0,42.0,,,51.0,,,19.928
2020-04-07 02:00:00,,,,31.0,34.0,38.0,,,48.0,,,19.983
2020-04-07 04:00:00,,,,30.0,36.0,40.0,,,50.0,,,19.976
2020-04-07 06:00:00,62.398999999999994,,,37.0,513.0272394267508,48.0,,,52.0,,46.0,19.958
2020-04-07 08:00:00,,,,,35.0,,,,836.2738193775119,,55.0,19.9
2020-04-07 10:00:00,,,,,34.0,,,,48.0,,,725.554
2020-04-07 12:00:00,,,,,34.0,,438.9928658873512,29.0,46.0,,,19.994
2020-04-07 14:00:00,,,,,,,,1262.764274600256,,,,19.871
2020-04-07 16:00:00,56.50899999999999,,,39.0,42.0,47.0,914.4055718708372,28.0,48.0,,,19.986
2020-04-07 18:00:00,,25.0,,30.0,35.0,43.0,24.0,,49.0,,,1045.566
2020-04-07 20:00:00,,,,30.0,35.0,40.0,,,48.0,,,19.918
2020-04-07 22:00:00,,,,31.0,35.0,40.0,,,51.0,,,19.977
2020-04-08 00:00:00,,,,949.2942954583107,35.0,40.0,,,49.0,,,19.918
2020-04-08 02:00:00,,,,32.0,35.0,41.0,,,50.0,,,19.949
2020-04-08 04:00:00,,,,29.0,39.0,40.0,,,49.0,,,19.93
2020-04-08 06:00:00,60.83500000000001,,,742.8950049651454,0.0,42.0,37.8,30.0,46.0,,,19.94
2020-04-08 08:00:00,,,,,37.92075133671665,48.0,36.0,31.0,,,,19.997
2020-04-08 10:00:00,,,,,38.350089761957285,,,34.33009904516163,,,,20.469
2020-04-08 12:00:00,,,15.0,,48.552502175707396,,,1094.5299848821248,,,,20.697
2020-04-08 14:00:00,,,,,,,,31.64030641498776,,,,21.121
2020-04-08 16:00:00,66.85702960435445,,,31.505432706779608,1293.7229380353454,35.0,43.785577711408244,28.68416359024387,98.71599635811512,,,21.533
2020-04-08 18:00:00,,,,33.38271291004637,38.26789311426485,35.0,45.53510029667964,,50.57399449881545,,,21.377
2020-04-08 20:00:00,,,,34.27080236014068,718.4592625351765,35.0,,,53.28397747999377,,,23.204
2020-04-08 22:00:00,,,,34.1109644222008,45.55712040142566,35.0,,,50.231065832040116,,,111.595
2020-04-09 00:00:00,,,,1057.803159157871,619.9548609540517,35.0,,,1030.0774934234264,,,29.189
2020-04-09 02:00:00,,,,724.7470795988396,44.21580112030263,35.0,,,53.42453981732253,,,29.555
2020-04-09 04:00:00,,,,486.6810170853054,44.45843011203304,35.0,,,53.83196172521357,,,990.809
2020-04-09 06:00:00,,,,798.0710742435864,683.2272658348945,35.0,,,53.957995470517425,,,30.406
2020-04-09 08:00:00,,,,39.27175926209559,44.843831985449064,35.0,,,,,,25.32
2020-04-09 10:00:00,,,,,,35.0,,,,,,529.802
2020-04-09 12:00:00,69.34471019691408,,,,,35.0,,,,,,26.576999999999998
2020-04-09 14:00:00,,,,,,35.0,,,,,,777.785
2020-04-09 16:00:00,,,,,,35.0,,,,,,639.423
2020-04-09 18:00:00,,,,,,35.0,,,,,,387.603
2020-04-09 20:00:00,,,,,,35.0,,,,,,906.4780000000001
2020-04-09 22:00:00,,,,,,35.0,,,,,,881.39
2020-04-10 00:00:00,,,,,,35.0,,,,,,644.284
2020-04-10 02:00:00,,,,,,35.0,,,,,,530.4630000000001
2020-04-10 04:00:00,,,,,,35.0,,,,,,850.1419999999999
2020-04-10 06:00:00,,,,,,35.0,,,,,,753.5930000000001
2020-04-10 08:00:00,,,,,,35.0,,,,,,592.172
2020-04-10 10:00:00,,,,,,35.0,,,,,,653.561
2020-04-10 12:00:00,,,,,,35.0,,,,,,676.965
2020-04-10 14:00:00,,,,,,35.0,,,,,,790.51
2020-04-10 16:00:00,,,,,,35.0,,,,,,659.363
2020-04-10 18:00:00,,,,,,35.0,,,,,,237.328
2020-04-10 20:00:00,,,,,,35.0,,,,,,30.961
2020-04-10 22:00:00,,,,,,35.0,,,,,,727.352
2020-04-11 00:00:00,,,,,,,,,,,,
