Timestamp,mobile-29,mobile-28,mobile-30,mobile-21,mobile-26,mobile-23,mobile-22,mobile-48,mobile-14,mobile-45
2020-04-06 00:00:00,,,,,,19.0,20.0,,,
2020-04-06 02:00:00,,,,,,21.0,20.0,,,
2020-04-06 04:00:00,,,,,,21.0,20.0,,,
2020-04-06 06:00:00,,58.0,,17.0,38.0,18.0,20.0,20.0,,
2020-04-06 08:00:00,,,,,,,19.0,,,
2020-04-06 10:00:00,,,31.0,,,,1156.6358764201213,,,
2020-04-06 12:00:00,,,,,,,20.0,,,52.0
2020-04-06 14:00:00,,,,,,,,,,
2020-04-06 16:00:00,,52.0,29.0,16.0,37.0,19.0,20.0,22.0,,53.0
2020-04-06 18:00:00,,,,,,19.0,736.0048361181872,,,
2020-04-06 20:00:00,,,,,,21.0,536.094730628585,,,
2020-04-06 22:00:00,,,,,,20.0,21.0,,,
2020-04-07 00:00:00,,,,,,21.0,20.0,,,
2020-04-07 02:00:00,,,,,,19.0,19.0,,,
2020-04-07 04:00:00,,,,,,19.0,19.0,,,
2020-04-07 06:00:00,,58.0,,,39.0,21.0,18.0,,,46.0
2020-04-07 08:00:00,,,,,,20.0,,,,
2020-04-07 10:00:00,,,883.4674433053619,,,20.0,,,,
2020-04-07 12:00:00,,,,16.0,,,,22.0,,
2020-04-07 14:00:00,,,26.0,,,,,,,
2020-04-07 16:00:00,,64.0,,17.0,39.0,22.0,20.0,20.0,,54.0
2020-04-07 18:00:00,,,29.0,,,,710.9389224142845,,,52.0
2020-04-07 20:00:00,,,28.0,,,19.0,20.0,,,50.0
2020-04-07 22:00:00,,,,,,324.57899990749746,19.0,,,
2020-04-08 00:00:00,,,,,,19.0,20.0,,,
2020-04-08 02:00:00,,,,,,20.0,22.0,,,
2020-04-08 04:00:00,,,,,,465.71239005071436,22.0,,,
2020-04-08 06:00:00,,60.0,,,,19.0,21.0,,,46.0
2020-04-08 08:00:00,,,26.53568650521041,,38.0,,,,,
2020-04-08 10:00:00,23.15013914913393,,,,,,,,,
2020-04-08 12:00:00,,,,15.0,,,,20.388752342042586,,
2020-04-08 14:00:00,,,27.985358942913017,,,,,,,
2020-04-08 16:00:00,,57.46372459073483,31.66046087595676,,35.0,20.98868741683065,65.70860997816875,20.11148877630225,,
2020-04-08 18:00:00,,,,15.0,,21.091593037120237,763.021143494713,,,
2020-04-08 20:00:00,25.20076606170227,,,,,23.327888210439934,1032.8025375022264,,,
2020-04-08 22:00:00,,,,,,952.6505733884038,25.9895286206532,,,
2020-04-09 00:00:00,,,,,,951.8132045265021,559.8748472597547,,,
2020-04-09 02:00:00,,,,,,894.9190014059488,29.77796457914574,,,
2020-04-09 04:00:00,,,,,,27.48327710676599,27.68965586561098,,,
2020-04-09 06:00:00,,,,,,29.622057463080626,29.95184806658416,24.59077279908309,52.08350509696969,
2020-04-09 08:00:00,,,,,,28.97023398800228,,,,
2020-04-09 10:00:00,,,,,,,,,,
2020-04-09 12:00:00,,,,,,,,,,
2020-04-09 14:00:00,,,,,,,,,,
2020-04-09 16:00:00,,,,,,,,,,
2020-04-09 18:00:00,,,,,,,,29.70819163227553,,
2020-04-09 20:00:00,,,,,,,,,,
2020-04-09 22:00:00,,,,,,,,,,
2020-04-10 00:00:00,,,,,,,,,,
2020-04-10 02:00:00,,,,,,,,,,
2020-04-10 04:00:00,,,,,,,,,,
2020-04-10 06:00:00,,,,,,,,,,
2020-04-10 08:00:00,,,,,,,,34.815391790963076,,
2020-04-10 10:00:00,,,,,,,,,,
2020-04-10 12:00:00,,,,,,,,,,
2020-04-10 14:00:00,,,,,,,,,,
2020-04-10 16:00:00,,,,,,,,,,
2020-04-10 18:00:00,,,,,,,,,,
2020-04-10 20:00:00,,,,,,,,,,
2020-04-10 22:00:00,,,,,,,,,,
2020-04-11 00:00:00,,,,,,,,,,
