Timestamp,mobile-37,mobile-44,mobile-38,mobile-19,mobile-5,mobile-40,mobile-36,mobile-15,mobile-20,mobile-4,mobile-2,mobile-33,mobile-23,mobile-11,mobile-24,mobile-7,mobile-27,mobile-6,mobile-47,mobile-17,mobile-1,mobile-46,mobile-9,mobile-39,mobile-42,mobile-13,mobile-31,mobile-10,mobile-16,mobile-12,mobile-8
2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,48.0,,
2020-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,11.0,50.0,,,,49.0,,
2020-04-06 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,52.0,,,,805.7436400613257,,
2020-04-06 06:00:00,,,20.0,19.0,,,,,,,,,23.0,,,46.0,64.40899999999999,,,,,,49.0,45.0,50.0,,37.0,,760.0484515228169,,
2020-04-06 08:00:00,,33.06955,,,,,,,,,,,,,,,,19.0,,,,40.0,,,,,,,,,
2020-04-06 10:00:00,,,,,,,,,,18.0,,,,,,,,,,,,40.0,,,,,,,,,
2020-04-06 12:00:00,,,,,,22.0,,,,21.0,,,,,,,,,29.0,33.8,,38.0,,,,,,,,,
2020-04-06 14:00:00,,,,,,,,,,20.0,,,,,,,,,,,,782.6777425320009,,,,,,,,,
2020-04-06 16:00:00,41.898999999999994,,,24.0,20.0,21.0,,,,20.0,,,,,45.0,48.0,44.8,,,,,39.0,,49.0,54.0,,,,52.0,,47.0
2020-04-06 18:00:00,,,,,,,,,,,,,,,,54.0,,,,,,,,10.0,54.0,,,,842.1217939858009,,
2020-04-06 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,56.0,,,,51.0,,
2020-04-06 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,12.0,54.0,,,,51.0,,
2020-04-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,56.0,,,,52.0,,
2020-04-07 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,777.1884559521976,,,,50.0,,
2020-04-07 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,54.0,,,,860.762190682174,,
2020-04-07 06:00:00,,37.00835,,,,,,,,506.7803858363144,,,,,,48.0,62.6,,,,,38.0,47.0,10.0,52.0,,37.0,,51.0,51.0,
2020-04-07 08:00:00,40.959,,,,,,,,,23.0,,,,,,,,,,,,40.0,,11.0,,,,,,48.0,
2020-04-07 10:00:00,,,,22.0,,,,,,20.0,,,,,,,,,,,,39.0,,11.0,,,,,,51.0,
2020-04-07 12:00:00,,,,25.0,,,,15.0,,30.0,,,23.0,,,,,16.0,,34.8,,38.0,,48.0,,,,,48.0,47.0,
2020-04-07 14:00:00,,,,,,,,,,769.7525351364633,,,,,,,,,,,,39.0,,,,,,,,,
