Timestamp,mobile-40,mobile-41,mobile-39,mobile-17,mobile-25,mobile-47,mobile-6,mobile-36,mobile-15,mobile-4,mobile-35,mobile-2,mobile-24,mobile-19,mobile-20,mobile-27,mobile-43,mobile-9,mobile-23,mobile-42,mobile-31,mobile-44,mobile-16,mobile-12,mobile-8,mobile-7
2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,52.0,41.0,46.0,,,,
2020-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,53.0,41.0,42.0,,,,
2020-04-06 04:00:00,,,,,,,,,,,,,,,,,,,,50.0,40.0,41.0,,,,
2020-04-06 06:00:00,,22.0,21.0,,,,,22.0,,45.0,,,,,468.63815493010287,,,,45.0,57.0,40.0,43.0,,,,49.0
2020-04-06 08:00:00,929.3289750734093,,,,,,,,,,,,,,32.0,,,40.0,,,,,,,,51.0
2020-04-06 10:00:00,40.66735,,,,,,,,,,,,,,33.0,,,40.0,,,,,,,,50.0
2020-04-06 12:00:00,46.0961,,,,,,,,,,,,,28.0,32.0,,,40.0,,,,,,,,
2020-04-06 14:00:00,41.7121,,,,,,,,,,,,,,810.0657901821318,,,40.0,,,,,,,,
2020-04-06 16:00:00,40.06805,,20.0,,,,,22.0,,,48.0,60.8,,,33.0,,,37.0,50.0,508.9870168554786,40.0,39.0,,,,
2020-04-06 18:00:00,,,,,,,,,,,,,,,,,,,,57.0,42.0,44.0,,,,
2020-04-06 20:00:00,,,,,,,,,,,,,,,,,,,,50.0,40.0,41.0,,,,
2020-04-06 22:00:00,,,,,,,,,,,,,,,,,,,,54.0,41.0,42.0,,,,
2020-04-07 00:00:00,,,,,,,,,,,,,,,,,,,,50.0,39.0,45.0,,,,
2020-04-07 02:00:00,,,,,,,,,,,,,,,,,,,,51.0,44.0,43.0,,,,
2020-04-07 04:00:00,,,,,,,,,,,,,,,,,,,,541.4735041444588,43.0,42.0,,,,
2020-04-07 06:00:00,44.02095,,,,,,,,,46.0,,,,,,,,41.0,46.0,52.0,38.0,42.0,,,,
2020-04-07 08:00:00,47.10425,,,,,,,,,,,,,,,,,1152.2620242752482,,706.4743475400325,,45.0,,,,
2020-04-07 10:00:00,46.67965,,,,,,,,,,,,,,,,,39.0,,51.0,,43.0,,,,
2020-04-07 12:00:00,47.39505,,23.0,,,,,,,,,,,,33.0,32.2,,39.0,,48.0,,,,,,
2020-04-07 14:00:00,934.8169860259112,,,,,,,,,,,,,,34.0,,,40.0,,,,,,,,
2020-04-07 16:00:00,49.1444,,24.0,,,,,20.0,,,44.0,60.086999999999996,,,32.0,,,37.0,47.0,50.0,52.0,41.0,,903.6804990161752,,
2020-04-07 18:00:00,,,,,,,,,,,,,,,,,,,,52.0,52.0,43.0,,40.0,,
2020-04-07 20:00:00,,,,,,,,,,,,,,,,,,,,719.6081137737567,48.0,54.0,,,,
2020-04-07 22:00:00,,,,,,,,,,,,,,,,,,,,49.0,44.0,50.0,,,,
2020-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,51.0,356.55266718799874,60.0,,,,
2020-04-08 02:00:00,,,,,,,,,,,,,,,,,,,,50.0,45.0,50.0,,,,
2020-04-08 04:00:00,,,,,,,,,,,,,,,,,,,,57.0,49.0,51.0,,,,
2020-04-08 06:00:00,47.09275,23.0,24.0,,,14.0,,,,46.0,,,,,,,,,48.0,458.49359188133707,47.0,44.0,,,,
2020-04-08 08:00:00,52.161,,,,,,,23.0,,,,,,,,36.8,,,,927.6700537480368,266.8215231112323,,,,,
2020-04-08 10:00:00,49.51978477059576,,,,,,,,,,,,,,,,,,,777.7961849667778,45.03997794359663,,,,,
2020-04-08 12:00:00,,,,,,18.777230122669614,,,,,,,,,,,,32.0,,45.460897543354925,51.42767595194376,,,,,
2020-04-08 14:00:00,,,,,,,,,,,,,15.0,,38.07083278564305,,,32.0,,,,,,,,
2020-04-08 16:00:00,,,,,,,,26.001228816768684,,,41.165614115549275,97.30377428445284,,,38.826537346800706,,,32.0,49.579167590835546,49.27305831468068,53.28837873859553,52.044692082742365,,,,
2020-04-08 18:00:00,,,,,,,,,,,,,,,,,,,,47.02856699905363,49.745374729011296,98.58297203610813,,,,
2020-04-08 20:00:00,,,,,,,,,,,,,,,,,,,,52.97311719493352,1146.6545989130616,530.2584643735697,,,,
2020-04-08 22:00:00,,,,,,,,,,,,,,,,,,,,562.9705187538267,48.54291112254537,49.10892780861646,,,,
2020-04-09 00:00:00,,,,,,,,,,,,,,,,,,,,646.6557360624947,1056.9090694148565,48.072513924980754,,,,
2020-04-09 02:00:00,,,,,,,,,,,,,,,,,,,,100.15558037979936,826.8090935253322,944.732191513107,,,,
2020-04-09 04:00:00,,,,,,,,22.6031398807456,,,,,,,,,,,,612.5555247918401,950.5177651618393,326.539483656173,,,,
2020-04-09 06:00:00,,,,,,,,,,61.058082146790746,,,,,,,,,,74.37487404682696,489.88104089131934,728.8694930467701,,,,
2020-04-09 08:00:00,,,,,,,,,,,,,,,,,,,,,1015.2917113641713,341.7866141131932,,,,
2020-04-09 10:00:00,,,,,,,,,,,,,,,,,26.873182341221927,,,,54.31247969472626,615.9979297232877,42.527005139042025,,,
2020-04-09 12:00:00,,,,,,,,,,,,63.96091747894458,,,,,,,,,50.296253305870565,53.45008516583349,,,,
2020-04-09 14:00:00,,,,,,,,,,,,,,,,,30.810048145907125,,,,,,,,,
2020-04-09 16:00:00,,,,,,,,,,,51.00335682757789,,,,,,,,,60.977824729753316,52.50200137849777,53.134037345850246,,,52.35380197371061,
2020-04-09 18:00:00,,,,,,,,,,,,,,,,,,,,63.3391532307663,645.8190705653199,523.0530273085424,,,,
2020-04-09 20:00:00,65.80829775646397,,,,,,,,,,,,,,,,,,,65.3854787622389,514.0336853705783,576.9231923997067,,,,
2020-04-09 22:00:00,,,,,,,,,,,,,,,,,,,,665.3444201745376,683.7227075182955,844.8550344365732,,,,
2020-04-10 00:00:00,,,,,,,,,,,,,,,,,,,,903.5987509676836,57.613501579087384,454.91458667308194,,,,
2020-04-10 02:00:00,,,,,,,,,,,,,,,,,,,,580.3859983890692,57.09019173819571,536.0285994880053,,,,
2020-04-10 04:00:00,,,,,,,,35.280257054923155,,,,,,,,,,,,65.5390446940547,715.8983052063893,688.0898448700364,,,,
2020-04-10 06:00:00,,,,,,,,,,,,,,,,,,,,1000.1429964963866,55.99193543304797,756.3057841639697,,,,
2020-04-10 08:00:00,,,,,,,,,,,,,,,,,,,,,497.2145056144397,,,,58.84377311849128,
2020-04-10 10:00:00,,,,,,,,,,,,,,,,,,,,,54.74258347720094,,,,,
2020-04-10 12:00:00,,36.001557343328194,,,,,,,38.546880845306475,,,,,,,,,,,,,,50.14819352538875,,,
2020-04-10 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10 16:00:00,,,,,,,,,,,51.19065401669917,,,,,,,,,64.94079075276395,51.32283586820772,589.5679383988281,,,,
2020-04-10 18:00:00,,,,,,,,,,,,,,,,,,,,482.7194111229142,778.3307646455298,390.7688974265183,,,,
2020-04-10 20:00:00,,,,,,,30.608825028419034,,,,,,,,,,,,,66.50756567614937,693.4490879277022,466.0199735980989,,,,
2020-04-10 22:00:00,,,,21.50119287956946,28.222381071923174,,,,,,,,,,,,,,57.14445352003572,65.89552950218217,54.51337878478408,445.30838952534,,,,
2020-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
