Timestamp,mobile-25,mobile-46,mobile-35,mobile-33,mobile-20,mobile-23,mobile-34,mobile-24,mobile-45,mobile-31,mobile-27,mobile-47,mobile-22
2020-04-06 00:00:00,,,,,,,,,,,,,
2020-04-06 02:00:00,,,,,,,,,,,,,
2020-04-06 04:00:00,,,,,,,,,,,,,
2020-04-06 06:00:00,71.051,,,,31.0,,,46.0,,37.0,,49.0,
2020-04-06 08:00:00,,,17.0,,,,,,,,,,
2020-04-06 10:00:00,,,,27.0,,,,,47.0,,,,
2020-04-06 12:00:00,,,,,,33.0,20.0,,,,47.0,46.0,
2020-04-06 14:00:00,,,,,,,,,,,49.0,,
2020-04-06 16:00:00,60.898,,,27.0,32.0,32.0,,,52.0,,48.0,,
2020-04-06 18:00:00,,,,,,,,,,,,,
2020-04-06 20:00:00,,,,,,,,,,,,,
2020-04-06 22:00:00,,,,,,,,,,,,,
2020-04-07 00:00:00,,,,,,,,,,,,,
2020-04-07 02:00:00,,,,,,,,,,,,,
2020-04-07 04:00:00,,,,,,,,,,,,,
2020-04-07 06:00:00,69.473,,,27.0,,,,46.0,,38.0,,,60.0
2020-04-07 08:00:00,,,,,,,,,,,,,45.0
2020-04-07 10:00:00,,,,,,,,,,,,,
2020-04-07 12:00:00,,,29.0,,32.0,32.2,,,,,1011.8395357750024,,
2020-04-07 14:00:00,,,,,,,,,,,,,
2020-04-07 16:00:00,56.348,,,28.0,32.0,33.0,,,49.0,,45.0,,
2020-04-07 18:00:00,,42.0,,,,,,,49.0,,,,
2020-04-07 20:00:00,,45.0,,,,,,,,,,,
2020-04-07 22:00:00,,,,,,,,,,,,,
2020-04-08 00:00:00,,,,,,,,,,,,,
2020-04-08 02:00:00,,,,,,,,,,,,,
2020-04-08 04:00:00,,,,,,,,,,,,,
2020-04-08 06:00:00,73.57300000000002,,,30.0,,,22.0,47.0,,,45.0,,
2020-04-08 08:00:00,,,,,,34.6,,,,,,,
2020-04-08 10:00:00,,,,,,,,,,,,,
2020-04-08 12:00:00,,,15.0,,34.736543352980235,,,,,32.0,562.0589020134797,,
2020-04-08 14:00:00,,,,,,,,,,,49.84781026412731,,
2020-04-08 16:00:00,50.33285629704359,,,30.144678632447448,32.752146273240754,32.75847812397827,,,,,48.89629428863483,,
2020-04-08 18:00:00,,,,,,,,,,,,,
2020-04-08 20:00:00,,,,,,,,,,,,,
2020-04-08 22:00:00,,,,,,,,,,,,,
2020-04-09 00:00:00,,,,,,,,,,,,,
2020-04-09 02:00:00,,,,,,,,,,,,,
2020-04-09 04:00:00,,,,,,,,,,,,,
2020-04-09 06:00:00,,,,,,,,,,,,,
2020-04-09 08:00:00,,,,,,,,,,,,,
2020-04-09 10:00:00,,,,,,,,,,,,,
2020-04-09 12:00:00,674.0263274314258,,,,,,,43.695065157359295,,,,,
2020-04-09 14:00:00,,,,,,,,,,,,,
2020-04-09 16:00:00,,,,,,,,,,,,,
2020-04-09 18:00:00,,,,,,,,,,,,,
2020-04-09 20:00:00,,,,,,,,,,,,,
2020-04-09 22:00:00,,,,,,,,,,,,,
2020-04-10 00:00:00,,,,,,,,,,,,,
2020-04-10 02:00:00,,,,,,,,,,,,,
2020-04-10 04:00:00,,,,,,,,,,,,,
2020-04-10 06:00:00,,,,,,,,46.700505224009596,,,,,
2020-04-10 08:00:00,,,,,,,,,,,,,
2020-04-10 10:00:00,,,,,,,,,,,,,
2020-04-10 12:00:00,,,,,,,,,,,,,
2020-04-10 14:00:00,,,,,,,,,,,,,
2020-04-10 16:00:00,,,,,,,,,,,,,
2020-04-10 18:00:00,,,,,,,,,,,,,
2020-04-10 20:00:00,,,,,,,,,,,,,
2020-04-10 22:00:00,,,,,,,,,,,,,
2020-04-11 00:00:00,,,,,,,,,,,,,
