Timestamp,30,30flag,31,31flag,32,32flag,9,9flag,21,21flag,22,22flag,48,48flag,23,23flag,13,13flag,14,14flag
2020-04-06 00:00:00,22.0,0,22.0,0,38.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-06 02:00:00,23.0,0,22.0,0,38.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-06 04:00:00,22.0,0,22.0,0,53.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-06 06:00:00,21.0,0,439.22867713194296,1,39.0,0,20.0,0,42.0,0,,0,,0,,0,,0,,0
2020-04-06 08:00:00,,0,22.0,0,39.0,0,20.0,0,,0,,0,,0,,0,,0,,0
2020-04-06 10:00:00,,0,21.0,0,39.0,0,19.0,0,,0,31.0,0,,0,,0,,0,,0
2020-04-06 12:00:00,,0,20.0,0,,0,,0,,0,,0,49.0,0,,0,,0,,0
2020-04-06 14:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-06 16:00:00,567.0947162208488,1,,0,38.0,0,,0,,0,,0,48.0,0,15.0,0,,0,,0
2020-04-06 18:00:00,22.0,0,,0,39.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-06 20:00:00,22.0,0,,0,37.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-06 22:00:00,21.0,0,,0,38.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-07 00:00:00,561.9452101659441,1,,0,39.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-07 02:00:00,21.0,0,,0,39.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-07 04:00:00,21.0,0,,0,38.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-07 06:00:00,25.0,0,,0,37.0,0,,0,36.0,0,,0,51.0,0,,0,,0,,0
2020-04-07 08:00:00,22.0,0,,0,38.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-07 10:00:00,21.0,0,,0,38.0,0,,0,,0,31.0,0,,0,,0,,0,,0
2020-04-07 12:00:00,21.0,0,,0,,0,,0,,0,,0,,0,,0,28.0,0,,0
2020-04-07 14:00:00,,0,,0,37.0,0,,0,,0,,0,,0,,0,1004.3484639777763,1,,0
2020-04-07 16:00:00,21.0,0,,0,38.0,0,,0,,0,,0,50.0,0,16.0,0,,0,,0
2020-04-07 18:00:00,23.0,0,,0,39.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-07 20:00:00,23.0,0,22.0,0,37.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-07 22:00:00,919.749892698429,1,22.0,0,37.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-08 00:00:00,997.229023576982,1,24.0,0,39.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-08 02:00:00,21.0,0,921.2394279087014,1,659.1742131375662,1,,0,,0,,0,,0,,0,,0,,0
2020-04-08 04:00:00,22.0,0,24.0,0,38.0,0,,0,,0,,0,,0,,0,,0,,0
2020-04-08 06:00:00,22.0,0,21.0,0,37.0,0,,0,34.0,0,,0,50.0,0,,0,,0,,0
2020-04-08 08:00:00,1154.843937278406,1,,0,112.0,0,,0,,0,29.641662587572327,0,,0,,0,,0,,0
2020-04-08 10:00:00,22.174292488818,0,,0,29.5852736129041,0,,0,,0,,0,,0,,0,,0,24.99331717423355,0
2020-04-08 12:00:00,883.10106267732,1,,0,,0,,0,,0,28.095934302580595,0,,0,,0,,0,,0
2020-04-08 14:00:00,,0,,0,,0,,0,,0,29.760384597410948,0,,0,,0,,0,,0
2020-04-08 16:00:00,409.153102700612,1,,0,40.49324526167154,0,,0,,0,28.321366461961574,0,,0,,0,,0,,0
2020-04-08 18:00:00,23.63905090902576,0,,0,40.82581837015922,0,,0,,0,,0,,0,15.0,0,,0,,0
2020-04-08 20:00:00,24.901023384747287,0,,0,931.8193775917996,1,,0,,0,,0,,0,,0,,0,,0
2020-04-08 22:00:00,26.6488674726097,0,,0,82.78726440571741,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 00:00:00,575.0170656249257,1,,0,1056.59285846261,1,,0,,0,,0,,0,,0,,0,,0
2020-04-09 02:00:00,27.674185844804445,0,,0,43.59858104328107,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 04:00:00,525.3370264043747,1,,0,43.355956369860074,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 06:00:00,28.80627990669787,0,,0,44.31965799803047,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 08:00:00,,0,,0,36.70445874027582,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 10:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 12:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 14:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 16:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 18:00:00,32.385631591650316,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 20:00:00,467.43108787416196,1,,0,50.77770168195967,0,,0,,0,,0,,0,,0,,0,,0
2020-04-09 22:00:00,36.2746168930906,0,,0,85.28189121044463,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 00:00:00,633.5370595137343,1,,0,52.108361603048216,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 02:00:00,807.9792370281256,1,,0,645.5001471102878,1,,0,,0,,0,,0,,0,,0,,0
2020-04-10 04:00:00,907.8413651663333,1,,0,820.8872401572679,1,,0,,0,,0,,0,,0,,0,,0
2020-04-10 06:00:00,35.12349052793299,0,,0,51.025167501407935,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 08:00:00,37.838203962192274,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 10:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 12:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 14:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 16:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 18:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 20:00:00,,0,,0,53.57604927817685,0,,0,,0,,0,,0,,0,,0,,0
2020-04-10 22:00:00,,0,,0,57.77559361114706,0,,0,,0,,0,,0,,0,,0,,0
