Timestamp,mobile-19,mobile-18,mobile-20,mobile-17,mobile-5,mobile-38,mobile-4,mobile-36,mobile-16,mobile-2,mobile-7,mobile-27,mobile-47,mobile-1,mobile-44,mobile-15,mobile-9,mobile-25,mobile-3,mobile-41,mobile-23,mobile-37,mobile-50,mobile-31,mobile-13,mobile-10,mobile-11,static-4
2020-04-06 00:00:00,,,,,,,,,,,,,,0.0,56.0,71.4,,,,,,,,,,,,19.9
2020-04-06 02:00:00,,,,,,,,,,,,,,,1219.6045523527694,335.59545465677,,,,,,,,,,,,19.959
2020-04-06 04:00:00,,,,,,,,,,,,,,,52.0,71.935,,,,,,,,,,,,19.95
2020-04-06 06:00:00,,34.0153,,23.0,22.0,,,,,,,1259.8884046459475,46.0,39.55139546007556,52.0,72.793,,,,,47.0,,48.0,,,,,19.989
2020-04-06 08:00:00,,37.0398,,,5.2,,,,,,,5.2,,,,,,,,,,,,,,,,19.975
2020-04-06 10:00:00,,,,,5.6,,,,,,,6.0,,,,,,,,,,,,,,,,19.988
2020-04-06 12:00:00,,,,,1003.994546310116,22.0,,,,,,5.2,,,,,,,36.2,,,,,,,,,19.983
2020-04-06 14:00:00,,,,,5.4,24.0,,,,,,317.93354199183574,,,,,,,36.4,,,,,,,,,19.928
2020-04-06 16:00:00,40.911,38.2763,,,22.0,21.0,,,,,,924.1624347675302,47.0,56.58631375638938,48.0,68.8,,,33.8,,41.0,,47.0,,,48.0,,19.983
2020-04-06 18:00:00,,,,,,,,,,,,,,,40.0,653.2522630001063,,,,,,,,,,,,19.979
2020-04-06 20:00:00,,,,,,,,,,,,,,,50.0,82.2,,,,,,,,,,,,19.96
2020-04-06 22:00:00,,,,,,,,,,,,,,,816.6698270369213,719.8110497025765,,,,,,,,,,,,19.980999999999998
2020-04-07 00:00:00,,,,,,,,,,,,,,,54.0,866.9711227766643,,,,,,,,,,,,19.977
2020-04-07 02:00:00,,,,,,,,,,,,,,,50.0,69.795,,,,,,,,,,,,19.972
2020-04-07 04:00:00,,,,,,,,,,,,,,,52.0,72.40100000000001,,,,,,,,,,,,19.974
2020-04-07 06:00:00,,43.00415,,,,,,,,,,27.0,45.0,,46.0,66.6,,,,,47.0,,50.0,,49.0,,,19.938
2020-04-07 08:00:00,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,19.986
2020-04-07 10:00:00,,,,,,,,,,,,5.4,,,,,,,,,,,,,46.0,,,19.975
