Timestamp,mobile-26,mobile-48,mobile-14,mobile-29,mobile-30,mobile-21,mobile-22,mobile-45,mobile-24,mobile-27,mobile-28,mobile-25
2020-04-06 00:00:00,,,,,,,,,,,,
2020-04-06 02:00:00,,,,,,,,,,,,
2020-04-06 04:00:00,,,,,,,,,,,,
2020-04-06 06:00:00,,,,,,,,,,,,
2020-04-06 08:00:00,,,,,,40.0,,,,,,
2020-04-06 10:00:00,,,,,,42.0,,,,,,
2020-04-06 12:00:00,,,,,,39.0,,,,,,47.0
2020-04-06 14:00:00,,,,,,40.0,,,,,,
2020-04-06 16:00:00,,,,,,36.0,,,,,,47.0
2020-04-06 18:00:00,,,,,,,,,,,,
2020-04-06 20:00:00,,,,,,,,,,,,
2020-04-06 22:00:00,,,,,,,,,,,,
2020-04-07 00:00:00,,,,,,,,,,,,
2020-04-07 02:00:00,,,,,,,,,,,,
2020-04-07 04:00:00,,,,,,,,,,,,
2020-04-07 06:00:00,,,,,,40.0,,,,,,50.0
2020-04-07 08:00:00,,,,,,39.0,,,,,,
2020-04-07 10:00:00,,,,,,40.0,,,,,,
2020-04-07 12:00:00,,,,,,40.0,,,,,,
2020-04-07 14:00:00,,,,,,41.0,,,,,,
2020-04-07 16:00:00,,,,,,39.0,,,,,,51.0
2020-04-07 18:00:00,,,,,,,,,,,,
2020-04-07 20:00:00,,,,,,,,,,,,
2020-04-07 22:00:00,,,,,,,,,,,,
2020-04-08 00:00:00,,,,,,,,,,,,
2020-04-08 02:00:00,,,,,,,,,,,,
2020-04-08 04:00:00,,,,,,,,,,,,
2020-04-08 06:00:00,,,,,,,,,,,,50.0
2020-04-08 08:00:00,,,,,,35.0,,,,,,
2020-04-08 10:00:00,24.023233755471967,,,,,35.0,,,,,,
2020-04-08 12:00:00,,,,,,35.0,,,,,,
2020-04-08 14:00:00,,,,,,35.0,,,,,,
2020-04-08 16:00:00,,,,,,35.0,,,,,,
2020-04-08 18:00:00,,,,,,,,,,,,
2020-04-08 20:00:00,24.15310597394113,,,,,,,,,,,
2020-04-08 22:00:00,,,,,,,,,,,,
2020-04-09 00:00:00,,,,,,,,,,,,
2020-04-09 02:00:00,,,,,,,,,,,,
2020-04-09 04:00:00,,,,,,,,,,,,
2020-04-09 06:00:00,,51.38081178138083,46.797044714616916,,,,,,29.783033811011702,26.622211960370397,69.36822286502948,
2020-04-09 08:00:00,,,,200.53279319793626,,,324.79825448873993,,,,,
2020-04-09 10:00:00,,,,,322.5551756540705,,,325.8114174266357,,,,
2020-04-09 12:00:00,,,,,,,,,,,,
2020-04-09 14:00:00,,,,,,,,,,,,
2020-04-09 16:00:00,,,,,,,,,,,,
2020-04-09 18:00:00,,1421.5583108340893,,,1472.09680312136,,62.69881340378061,1390.7073915264111,1397.1177515535871,399.5444422242875,2037.2723912049155,
2020-04-09 20:00:00,,1551.9014685208792,1997.4329933838958,1647.8189916112594,2089.4652360232744,,1534.9221240875272,2192.9233410367765,1819.2004818864395,,2190.001690375727,
2020-04-09 22:00:00,,1549.1303777579003,2139.2944453832442,1794.2421979558646,1850.5079872537415,,1522.831035333857,1514.7336527390949,2139.770079853768,,2127.7247557886617,
2020-04-10 00:00:00,,2165.7856100848066,1527.1899550443964,2418.0933889172898,2047.5944263571184,,2048.3519035169866,2073.5614922228506,1518.4936064733804,,1540.2600557350531,
2020-04-10 02:00:00,,1546.4059238703876,2111.041883757689,1525.9955698786248,2263.3700047925367,,2023.4848941987952,1906.3220094427566,2289.7510243063957,,2081.010592968922,
2020-04-10 04:00:00,,2339.0474964817668,1523.6468690590784,1528.6245794308152,2253.5070408420584,,2179.5900084196473,2104.227737309923,2073.4030415657767,,1539.952297073193,
2020-04-10 06:00:00,,1544.3849378935888,1520.094108219838,2056.033533544068,1527.5550090129675,,1547.590149832868,1881.8837590548237,1514.1549215504956,,1539.9044139701473,
2020-04-10 08:00:00,,945.57669264255,,,211.2658772122085,,609.3900019498179,185.89366328529977,,772.7665568034912,,
2020-04-10 10:00:00,,,,,,,,,,,,
2020-04-10 12:00:00,,,,,,,,,,,,
2020-04-10 14:00:00,,,,,,,,,,,,
2020-04-10 16:00:00,,,,,,,,,,,,
2020-04-10 18:00:00,,,,,,,,,,,,
2020-04-10 20:00:00,,,,,,,,,,,,
2020-04-10 22:00:00,,,,,,,,,,,,
2020-04-11 00:00:00,,,,,,,,,,,,
