Timestamp,mobile-48,mobile-28,mobile-26,mobile-23,mobile-20,mobile-27,mobile-31,mobile-22,mobile-21,mobile-47,mobile-14,mobile-45,mobile-24,mobile-25
2020-04-06 00:00:00,,,,,,,,,,,,,,50.0
2020-04-06 02:00:00,,,,,,,,,,,,,,609.7669400819343
2020-04-06 04:00:00,,,,,,,,,,,,,,51.0
2020-04-06 06:00:00,,,,,15.0,,,38.0,,18.0,,,,52.0
2020-04-06 08:00:00,,65.914,,,18.0,,,,,,,,,50.0
2020-04-06 10:00:00,,,,,,,,,,,,,,53.0
2020-04-06 12:00:00,,,,,,,,,30.2,,18.0,,,52.0
2020-04-06 14:00:00,,,,28.0,,,,,,,,,,
2020-04-06 16:00:00,,64.9,58.0,28.0,13.0,,,36.0,,20.0,,,,52.0
2020-04-06 18:00:00,,,,,,,,,,,,,,51.0
2020-04-06 20:00:00,,,,,,,,,,,,,,812.5497219203183
2020-04-06 22:00:00,,,,,,,,,,,,,,51.0
2020-04-07 00:00:00,,,,,,,,,,,,,,51.0
2020-04-07 02:00:00,,,,,,,,,,,,,,51.0
2020-04-07 04:00:00,,,,,,,,,,,,,,1069.6885182043516
2020-04-07 06:00:00,,58.40000000000001,,,,,,37.0,,,,,48.0,45.0
2020-04-07 08:00:00,,,,,,,,,,,,,48.0,
2020-04-07 10:00:00,,,,,,,,,,19.0,,,,
2020-04-07 12:00:00,,,,,15.0,,,,30.8,14.0,,,,
2020-04-07 14:00:00,,,,28.0,,,,,,,,,,
2020-04-07 16:00:00,,52.801,56.0,,15.0,,,772.915629251367,,20.0,,,,46.0
2020-04-07 18:00:00,,,,30.0,,,,,,,,,,
2020-04-07 20:00:00,,,,29.0,,,,,,,,,,55.0
2020-04-07 22:00:00,,,,,,,,,,,,,,50.0
2020-04-08 00:00:00,,,,,,,,,,,,,,687.6964886823038
2020-04-08 02:00:00,,,,,,,,,,,,,,53.0
2020-04-08 04:00:00,,,,,,,,,,,,,,51.0
2020-04-08 06:00:00,,72.89,,,,,,,34.6,17.0,18.0,,,50.0
2020-04-08 08:00:00,,,,,,,,38.0,,,,,,
2020-04-08 10:00:00,,,,,,,,,,,,,,
2020-04-08 12:00:00,,,,,15.0,,,,,,,,,
2020-04-08 14:00:00,,,,30.819076281053878,,,,,,,,,,
2020-04-08 16:00:00,,61.530644683100356,55.41411741739128,31.91245702100639,,,,35.0,,19.44152636077583,,,,
2020-04-08 18:00:00,,,,,15.0,,,,,20.96231918283905,,,,
2020-04-08 20:00:00,26.575191835130234,,,,,,,,,,,,,
2020-04-08 22:00:00,24.014172244528183,,,,,,,,,,,,,
2020-04-09 00:00:00,,,,,,,,,,,,,,
2020-04-09 02:00:00,,,,,,,,,,,,,,
2020-04-09 04:00:00,,,,,,,,,,,,,,
2020-04-09 06:00:00,,,,,,,,,38.07067108961743,,,47.99031637338152,,
2020-04-09 08:00:00,,,,,,37.41323404732989,675.8395675792527,,,,,,,
2020-04-09 10:00:00,,,,,,,,,,,,,,
2020-04-09 12:00:00,,66.39422754278682,,,,,,,,,,,,
2020-04-09 14:00:00,,,,,,,,,,,,,,
2020-04-09 16:00:00,,,,,,,,,,,,,,
2020-04-09 18:00:00,,,,,,,,,,,,,,
2020-04-09 20:00:00,,,,,,,,,,,,,,
2020-04-09 22:00:00,,,,,,,,,,,,,,
2020-04-10 00:00:00,,,,,,,,,,,,,,
2020-04-10 02:00:00,,,,,,,,,,,,,,
2020-04-10 04:00:00,,,,,,,,,,,,,,
2020-04-10 06:00:00,,,,,,,,,,,,,,
2020-04-10 08:00:00,,,,,,,,,,,,,,
2020-04-10 10:00:00,,,,,,,,,,,,,,
2020-04-10 12:00:00,,,,,,,,,,,,,,
2020-04-10 14:00:00,,,,,,,,,,,,,,
2020-04-10 16:00:00,,,,,,,,,,,,,,
2020-04-10 18:00:00,,,,,,,,,,,,,,
2020-04-10 20:00:00,,,,,,,,,,,,,,
2020-04-10 22:00:00,,,,,,,,,,,,,,
2020-04-11 00:00:00,,,,,,,,,,,,,,
