Timestamp,mobile-42,mobile-14,mobile-44,mobile-21,mobile-20,mobile-33,mobile-37,mobile-41,mobile-23,mobile-34,mobile-24,mobile-10,mobile-32,mobile-31,mobile-27,mobile-35,mobile-15,mobile-47,mobile-45,mobile-13,mobile-22,mobile-39,mobile-9,mobile-46
2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,46.0,,,,
2020-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,41.0,,,,
2020-04-06 04:00:00,,,,,,,,,,,,,,,,,,,,1009.2874342869698,,,,
2020-04-06 06:00:00,,,,30.0,,64.173,52.0,,,,,,,36.0,,,49.0,,39.0,39.0,48.0,,,
2020-04-06 08:00:00,,,,28.0,,,,,16.0,,,,,,,,582.5238806431726,,42.0,,50.0,,,
2020-04-06 10:00:00,,,,27.0,,,,,,29.0,,,,,37.0,,52.0,,42.0,,50.0,,,
2020-04-06 12:00:00,,14.0,,29.0,,,,,,,33.4,21.0,37.0,,,,52.0,,41.0,,,,,
2020-04-06 14:00:00,,14.0,,26.0,,,,,,,,,907.2580983215514,,,,52.0,,42.0,,,,,
2020-04-06 16:00:00,,,,26.0,28.0,,56.0,,17.0,,,,,37.0,48.0,40.0,52.0,,38.0,42.0,,,,
2020-04-06 18:00:00,,,,,25.0,,,,,,,,,,,,,,,42.0,,,,
2020-04-06 20:00:00,,,,,,,,,,,,,,,,,,,,45.0,,,,
2020-04-06 22:00:00,,,,,,,,,,,,,,,,,,,,44.0,,,,
2020-04-07 00:00:00,,,,,,,,,,,,,,,,,,,,43.0,,,,
2020-04-07 02:00:00,,,,,,,,,,,,,,,,,,,,45.0,,,,
2020-04-07 04:00:00,,,,,,,,,,,,,,,,,,,,43.0,,,,
2020-04-07 06:00:00,,,,26.0,,66.501,,,,28.0,,,,35.0,,,,,,44.0,,,,51.0
2020-04-07 08:00:00,,,,27.0,,,54.0,,,,,,,,50.0,,,,,44.0,,,,
2020-04-07 10:00:00,,,,26.0,,,,,,,,,,,,,,,38.0,45.0,,,,
2020-04-07 12:00:00,,,,48.0,,,,,626.6609818466915,,34.2,,,,,,50.0,,42.0,42.0,,57.0,,
2020-04-07 14:00:00,,,,43.0,,,,,,,,,,,,,51.0,,46.0,,,,,
2020-04-07 16:00:00,,,20.0,24.0,,,56.0,,17.0,,,,,37.0,47.0,37.0,51.0,,41.0,42.0,,,,
2020-04-07 18:00:00,,,,,,,,28.0,,,,,34.0,,51.0,,,,,44.0,,,,
2020-04-07 20:00:00,,,,,,,,42.0,,,,,,,,,,,,43.0,,,,
2020-04-07 22:00:00,,,,,,,,,,,,,,,,,,,,45.0,,,,
2020-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,42.0,,,,
2020-04-08 02:00:00,,,,,,,,,,,,,,,,,,,,45.0,,,,
2020-04-08 04:00:00,,,,,,,,,,,,,,,,,,,,628.1171045301692,,,,
2020-04-08 06:00:00,,,,27.0,,66.398,58.0,,,29.0,,20.0,,36.0,36.0,,,,55.0,45.0,,44.0,,
2020-04-08 08:00:00,,,,28.10708341193789,,,,,,27.0,,,,,,,776.3826481129048,,154.76756164159417,,,,,
2020-04-08 10:00:00,,,48.0142476269326,25.002236727636298,,,,,,,,,,,,,67.51374488720447,,1081.0181866453477,,,,,
2020-04-08 12:00:00,41.56893144835664,,,,,,,,,,,,50.20300603944447,,,32.0,350.61314432620713,60.63235331069068,642.4306509899425,,1141.6208866275415,50.969931916669644,,
2020-04-08 14:00:00,,,,,,,,,,,,,513.8256734356495,,,,806.3350414420497,,670.7644618540166,,950.2104700745323,,,
2020-04-08 16:00:00,,,,,,,71.94121676503876,,15.0,,,,,107.55127399296312,,32.0,72.02027368945897,,60.80554250645682,67.03286380535543,394.0506341601728,,,
2020-04-08 18:00:00,,,,,977.1102539338057,,,,,,,,,,,,,,,67.22516680197228,,,,
