Timestamp,mobile-35,mobile-34,mobile-33,mobile-9,mobile-21,mobile-20,mobile-22,mobile-32,mobile-45,mobile-31,mobile-46,mobile-14,mobile-23,mobile-47,mobile-41,mobile-13,mobile-44,static-14
2020-04-06 00:00:00,,,,,,,,,,40.0,39.0,40.0,,,,,,19.985
2020-04-06 02:00:00,,,,,,,,,,38.0,967.265929675614,40.0,,,,,,19.944000000000003
2020-04-06 04:00:00,,,,,,,,,,55.0,40.0,40.0,,,,,,19.949
2020-04-06 06:00:00,16.0,,,57.99500000000001,60.0,,,,,49.0,483.9753473133864,39.0,,,,,,19.92
2020-04-06 08:00:00,,,,63.89699999999999,,,,,,,39.0,,,,,,,19.941
2020-04-06 10:00:00,,,,,,33.0,,,38.0,,39.0,,,,,,,19.99
2020-04-06 12:00:00,,,,,,30.0,,20.0,,,,,,,43.0,,,19.980999999999998
2020-04-06 14:00:00,,,,,,32.0,,,34.0,,,,,,,50.0,,19.968
2020-04-06 16:00:00,,,23.0,,58.0,,17.0,,38.0,53.0,39.0,51.0,,,45.0,48.0,,19.838
2020-04-06 18:00:00,,,,,,,,,,39.0,37.0,39.0,,,,,,19.96
2020-04-06 20:00:00,,,,,,,,,,157.0,597.7293998594788,367.4609975915801,,,,,,19.977999999999998
2020-04-06 22:00:00,,,,,,,,,,40.0,37.0,40.0,,,,,,800.47
2020-04-07 00:00:00,,,,,,,,,,38.0,39.0,38.0,,,,,,19.941
2020-04-07 02:00:00,,,,,,,,,,40.0,38.0,39.0,,,,,,19.855999999999998
2020-04-07 04:00:00,,,,,,,,,,39.0,62.0,611.9646606344835,,,,,,19.999000000000002
2020-04-07 06:00:00,,,,60.393,60.0,,,,,48.0,55.0,880.8710081613033,,,,,47.0,19.991
2020-04-07 08:00:00,,,,,56.0,,,,,,35.0,,,,,,,19.866
2020-04-07 10:00:00,,,,,,30.0,,,36.0,,,,,,,,,19.930999999999997
2020-04-07 12:00:00,,24.0,,,,33.0,30.0,,,,,,42.0,,46.0,,,19.942999999999998
2020-04-07 14:00:00,,25.0,,,,36.0,,,35.0,,,,,,,,,19.969
2020-04-07 16:00:00,,,30.0,,56.0,,17.0,,,49.0,49.0,51.0,,,60.0,,,19.827
2020-04-07 18:00:00,,,,,,28.0,,,37.0,39.0,215.0,45.0,,,,,,19.887999999999998
2020-04-07 20:00:00,,,,,,41.0,,20.0,39.0,51.0,38.0,39.0,,,,,,19.980999999999998
2020-04-07 22:00:00,,,,,,,,,29.0,645.9396280113526,38.0,38.0,,,,,,489.49300000000005
2020-04-08 00:00:00,,,,,,,,,,38.0,39.0,39.0,,,,,,948.248
2020-04-08 02:00:00,,,,,,,,,,37.0,39.0,39.0,,,,,,19.99
2020-04-08 04:00:00,,,,,,,,,,39.0,38.0,38.0,,,,,,19.977999999999998
2020-04-08 06:00:00,,,,78.735,64.0,,,21.0,,736.8000965858496,49.0,39.0,,,,,,19.862000000000002
2020-04-08 08:00:00,,,,,,,,,,,,38.0,,,,,,19.909000000000002
2020-04-08 10:00:00,,52.3990600709595,39.052444074969905,,,27.095210056875754,,,35.22969933173301,,,32.0,,,,,,106.595
2020-04-08 12:00:00,,,,,,31.74227652189188,,,,,,32.0,,76.8534130257,,,,579.794
2020-04-08 14:00:00,,,,,,37.122853466293,,,65.04649254420504,,,,,,,,,21.819000000000003
2020-04-08 16:00:00,,,,,79.30553266358021,59.26861887690885,15.0,,862.6198031283378,44.43117865776717,,32.0,,,42.84777916134009,,,109.98
2020-04-08 18:00:00,,,,,,,15.0,,,40.25907573508954,,32.0,,,,,,22.258000000000003
2020-04-08 20:00:00,,,,,,,,,,737.2739864293532,,32.0,,,,,,22.26
2020-04-08 22:00:00,,,967.2674722247366,,,,,,,724.8699133611676,,32.0,,,,,,23.065
2020-04-09 00:00:00,,,,,,,,,,695.148798817753,,32.0,,,,,,22.404
2020-04-09 02:00:00,,,,,,,,,,1120.1669537430178,,32.0,,,,,,22.384
2020-04-09 04:00:00,,,,,,,,,,424.82084642498927,,32.0,,,,,,25.829
2020-04-09 06:00:00,,,,,,,,,,477.8924209973359,,32.0,,,,,,25.541
2020-04-09 08:00:00,,,,,,,,,,671.3996677372263,,32.0,,,,,,24.404
2020-04-09 10:00:00,,,,,,,,,,49.353470623812036,,32.0,,,,,,260.457
2020-04-09 12:00:00,,,,61.36151839375866,,,,,,46.59719741709768,,32.0,,,,,,25.473000000000003
2020-04-09 14:00:00,,,,,,,,,,,,32.0,,,,,,27.689
2020-04-09 16:00:00,,,,,,,,,,47.137776292119035,,32.0,,,,,,27.851999999999997
2020-04-09 18:00:00,,,,,,,,,,53.300172827785694,,32.0,,,,,,347.38199999999995
2020-04-09 20:00:00,,,,,,,,,42.75465599158943,50.26108397139106,,32.0,,,,,,647.508
2020-04-09 22:00:00,,,,,,,,,,581.7416900179293,,32.0,,,,,,28.846
2020-04-10 00:00:00,,,,,,,,,,472.1960312570178,,32.0,,,,,,640.232
2020-04-10 02:00:00,,,,,,,,,,357.04695070726854,,32.0,,,,,,595.903
2020-04-10 04:00:00,,,,,,,,,,357.1745944456812,,32.0,,,,,,694.2819999999999
2020-04-10 06:00:00,,,,,,,,,,842.2500291858905,,32.0,,,,,,550.999
2020-04-10 08:00:00,,,,,,,,,,,,32.0,,78.43148052271117,,,,431.145
2020-04-10 10:00:00,,,,,,,,,,,,32.0,,646.8340986913812,,,,675.2130000000001
2020-04-10 12:00:00,,,,,,,,,,,,32.0,,,,,,207.118
2020-04-10 14:00:00,,,,,,,,,,,,32.0,,,,,,623.859
