Timestamp,mobile-8,mobile-9,mobile-6,mobile-11,mobile-5,mobile-47,mobile-12,mobile-46,mobile-10,mobile-7,mobile-21,mobile-44,mobile-49,mobile-1,mobile-23,mobile-40,mobile-36,mobile-14,mobile-31,mobile-13,static-12,static-9
2020-04-06 00:00:00,,29.0,24.0,25.0,21.0,18.0,19.0,711.3613066141785,36.0,,,,,,,,,49.0,52.0,,19.756,19.983
2020-04-06 02:00:00,,27.0,742.1067342577651,25.0,18.0,20.0,21.0,1230.1723394994804,34.0,,,,,,,,,50.0,50.0,,19.99,19.997
2020-04-06 04:00:00,,940.3037709790243,24.0,24.0,20.0,21.0,513.9860424132073,20.0,35.0,,,,,,,,,49.0,51.0,,19.951,19.977
2020-04-06 06:00:00,,28.0,27.0,24.0,20.0,19.0,648.7320754185766,21.0,493.20307540098236,,,,,,,,,47.0,49.0,,19.994,19.964000000000002
2020-04-06 08:00:00,,,,25.0,18.0,,20.0,20.0,,,,58.0,,,,,,,,,19.988,19.977
2020-04-06 10:00:00,,,,22.0,22.0,,24.0,21.0,,,,58.0,,,,,,,,,19.939,19.942999999999998
2020-04-06 12:00:00,47.599,,,641.1126761605598,20.0,,,,,,,783.3120399570134,,,,,49.0,1257.6027626155678,,53.0,19.977999999999998,19.867
2020-04-06 14:00:00,,,,,,,22.0,,,,,68.0,,,,,1134.2162914248838,44.0,,,19.961,19.903
2020-04-06 16:00:00,,25.0,24.0,26.0,20.0,19.0,503.35082646382034,115.0,33.0,,,62.0,19.0,,,,55.0,49.0,48.0,53.0,19.948,19.986
2020-04-06 18:00:00,,25.0,24.0,26.0,19.0,20.0,20.0,21.0,32.0,,,,,,,,,50.0,666.1388389833583,,19.942999999999998,19.992
2020-04-06 20:00:00,,697.157758278339,23.0,23.0,24.0,18.0,20.0,1095.9564903634803,37.0,,,,,,,,,1001.0165694861447,50.0,,20.0,19.983
2020-04-06 22:00:00,,27.0,548.5543269982453,25.0,19.0,21.0,22.0,20.0,35.0,,,,,,,,,50.0,50.0,,19.980999999999998,19.941
2020-04-07 00:00:00,,28.0,738.1067354301426,26.0,20.0,20.0,225.20796296002618,21.0,38.0,,,,,,,,,48.0,49.0,,19.989,19.994
2020-04-07 02:00:00,,26.0,26.0,26.0,20.0,19.0,23.0,88.0,34.0,,,,,,,,,50.0,50.0,,19.96,19.982
2020-04-07 04:00:00,,27.0,23.0,26.0,22.0,18.0,22.0,1263.7807800959986,37.0,,,,,,,,,48.0,47.0,,857.436,19.852
2020-04-07 06:00:00,,26.0,24.0,24.0,21.0,19.0,20.0,22.0,34.0,,,,,,,,,46.0,46.0,,19.877,19.997
2020-04-07 08:00:00,41.056999999999995,28.0,23.0,22.0,,,18.0,,,,,64.0,,,,,,,,,19.968,19.988
2020-04-07 10:00:00,,25.0,23.0,29.0,,,22.0,,,,,60.0,,,,,,,,51.0,19.967,19.867
2020-04-07 12:00:00,,,29.0,,,,,,,,,762.2711908383792,19.0,,,,50.0,48.0,,49.0,835.43,19.998
2020-04-07 14:00:00,,,,,,,10.0,,,,,60.0,,,,,51.0,49.0,,,19.986,19.925
2020-04-07 16:00:00,,25.0,41.0,25.0,20.0,398.9144914126754,19.0,21.0,37.0,,,66.0,17.0,,,,,49.0,48.0,53.0,19.994,19.996
2020-04-07 18:00:00,,29.0,26.0,27.0,19.0,519.6588939336812,18.0,22.0,35.0,,,,,,,,,48.0,48.0,,19.918,19.998
2020-04-07 20:00:00,,29.0,26.0,24.0,18.0,21.0,20.0,21.0,34.0,,,,,,,,,50.0,48.0,,19.942999999999998,19.979
2020-04-07 22:00:00,,29.0,28.0,25.0,21.0,22.0,20.0,21.0,35.0,,,,,,,,,49.0,48.0,,1124.101,19.835
2020-04-08 00:00:00,,27.0,25.0,21.0,21.0,21.0,19.0,995.3705621768087,32.0,,,,,,,,,51.0,477.0207396978054,,19.951,19.964000000000002
