Timestamp,Sensor-id,Value
2020-04-06 06:19:00,17,33
2020-04-06 06:37:55,38,41
2020-04-06 07:02:50,36,39
2020-04-06 07:26:00,50,38
2020-04-06 07:26:05,50,32
2020-04-06 07:26:10,50,37
2020-04-06 07:26:15,50,40
2020-04-06 07:26:20,50,36
2020-04-06 07:26:25,50,36
2020-04-06 07:26:30,50,35
2020-04-06 07:26:35,50,39
2020-04-06 07:26:40,50,39
2020-04-06 07:26:45,50,39
2020-04-06 07:26:50,50,38
2020-04-06 07:26:55,50,37
2020-04-06 07:27:00,50,38
2020-04-06 07:27:05,50,39
2020-04-06 07:27:10,50,36
2020-04-06 07:27:15,50,40
2020-04-06 07:27:20,50,33
2020-04-06 07:27:25,50,37
2020-04-06 07:27:30,50,39
2020-04-06 07:27:35,50,40
2020-04-06 07:27:40,50,31
2020-04-06 07:27:45,50,33
2020-04-06 07:27:50,50,37
2020-04-06 07:27:55,50,38
2020-04-06 07:28:00,50,39
2020-04-06 07:28:05,50,37
2020-04-06 07:28:10,50,35
2020-04-06 07:28:15,50,34
2020-04-06 07:28:20,50,37
2020-04-06 07:28:25,50,37
2020-04-06 07:28:30,50,33
2020-04-06 07:28:35,50,31
2020-04-06 07:28:40,50,38
2020-04-06 07:28:45,50,35
2020-04-06 07:28:50,50,34
2020-04-06 07:28:55,50,38
2020-04-06 07:29:00,50,38
2020-04-06 07:29:05,50,38
2020-04-06 07:29:10,50,36
2020-04-06 07:29:15,50,38
2020-04-06 07:29:20,50,34
2020-04-06 07:29:25,50,40
2020-04-06 07:29:30,50,32
2020-04-06 07:29:35,50,32
2020-04-06 07:29:40,50,31
2020-04-06 07:29:45,50,37
2020-04-06 07:29:50,50,32
2020-04-06 07:29:55,50,39
2020-04-06 07:30:00,50,31
2020-04-06 07:30:05,50,35
2020-04-06 07:30:10,50,36
2020-04-06 07:30:15,50,36
2020-04-06 07:30:20,50,32
2020-04-06 07:30:25,50,37
2020-04-06 07:30:30,50,38
2020-04-06 07:30:35,50,37
2020-04-06 07:30:40,50,41
2020-04-06 07:30:45,50,36
2020-04-06 07:30:50,50,36
2020-04-06 07:30:55,50,34
2020-04-06 07:31:00,50,38
2020-04-06 13:00:05,49,39
2020-04-06 13:00:10,49,46
2020-04-06 13:00:15,49,43
2020-04-06 13:00:20,49,41
2020-04-06 13:00:25,49,40
2020-04-06 13:00:30,49,39
2020-04-06 13:00:35,49,42
2020-04-06 13:00:40,49,44
2020-04-06 13:00:45,49,41
2020-04-06 13:00:50,49,40
2020-04-06 13:00:55,49,45
2020-04-06 13:01:00,49,42
2020-04-06 13:01:05,49,45
2020-04-06 13:01:10,49,41
2020-04-06 13:01:15,49,42
2020-04-06 13:01:20,49,40
2020-04-06 13:01:25,49,39
2020-04-06 13:01:30,49,40
2020-04-06 13:01:35,49,43
2020-04-06 13:01:40,49,42
2020-04-06 13:01:45,49,46
2020-04-06 13:01:50,49,51
2020-04-06 13:01:55,49,38
2020-04-06 13:02:00,49,43
2020-04-06 13:02:05,49,46
2020-04-06 13:02:10,49,40
2020-04-06 13:02:15,49,43
